model,k,n_train,n_test,roc_auc,pr_auc,balanced_acc,f1,cm,precision,threshold,recall_hr,precision_hr,f1_hr,cm_hr,fold,k_label
rf,8.0,614,154,0.8537037037037037,0.7426744957839507,0.8109259259259259,0.7479674796747967,"[[77, 23], [8, 46]]",0.6666666666666666,0.25464880952380936,0.9629629629629629,0.49056603773584906,0.65,"[[46, 54], [2, 52]]",0,8
rf,8.0,614,154,0.8338888888888888,0.7599349268622443,0.7198148148148149,0.6355140186915887,"[[81, 19], [20, 34]]",0.6415094339622641,0.30412500000000003,0.8333333333333334,0.5625,0.6716417910447762,"[[65, 35], [9, 45]]",1,8
rf,8.0,614,154,0.8427777777777777,0.7388852629623913,0.7696296296296297,0.7008547008547008,"[[78, 22], [13, 41]]",0.6507936507936508,0.2951249999999999,0.9074074074074074,0.5697674418604651,0.7,"[[63, 37], [5, 49]]",2,8
rf,8.0,615,153,0.8341509433962264,0.7236229920740962,0.7967924528301886,0.7321428571428571,"[[82, 18], [12, 41]]",0.6949152542372882,0.2723869047619047,0.9056603773584906,0.5333333333333333,0.6713286713286714,"[[58, 42], [5, 48]]",3,8
rf,8.0,615,153,0.7939622641509434,0.7272367464572631,0.7029245283018868,0.624,"[[67, 33], [14, 39]]",0.5416666666666666,0.32140773809523815,0.7924528301886793,0.45652173913043476,0.5793103448275863,"[[50, 50], [11, 42]]",4,8
rf,12.0,614,154,0.8705555555555555,0.7681824075539305,0.8101851851851851,0.746031746031746,"[[75, 25], [7, 47]]",0.6527777777777778,0.2591875,0.9259259259259259,0.5376344086021505,0.6802721088435374,"[[57, 43], [4, 50]]",0,12
rf,12.0,614,154,0.837037037037037,0.7314261586197256,0.749074074074074,0.6730769230769231,"[[85, 15], [19, 35]]",0.7,0.310156746031746,0.8333333333333334,0.5921052631578947,0.6923076923076923,"[[69, 31], [9, 45]]",1,12
rf,12.0,614,154,0.8381481481481481,0.7304481288039935,0.741111111111111,0.6666666666666666,"[[76, 24], [15, 39]]",0.6190476190476191,0.30172023809523807,0.8888888888888888,0.5454545454545454,0.676056338028169,"[[60, 40], [6, 48]]",2,12
rf,12.0,615,153,0.8318867924528303,0.7238467242009937,0.7679245283018867,0.6964285714285714,"[[80, 20], [14, 39]]",0.6610169491525424,0.28420833333333334,0.9056603773584906,0.5333333333333333,0.6713286713286714,"[[58, 42], [5, 48]]",3,12
rf,12.0,615,153,0.7958490566037736,0.7276707307304121,0.7179245283018867,0.639344262295082,"[[70, 30], [14, 39]]",0.5652173913043478,0.2999375,0.8679245283018868,0.4742268041237113,0.6133333333333333,"[[49, 51], [7, 46]]",4,12
rf,,614,154,0.870925925925926,0.7576860341611323,0.7881481481481482,0.7226890756302521,"[[78, 22], [11, 43]]",0.6615384615384615,0.2766488095238095,0.9444444444444444,0.5425531914893617,0.6891891891891891,"[[57, 43], [3, 51]]",0,-1
rf,,614,154,0.8405555555555556,0.7419591786611064,0.7668518518518519,0.6972477064220184,"[[83, 17], [16, 38]]",0.6909090909090909,0.30704166666666666,0.8518518518518519,0.6052631578947368,0.7076923076923077,"[[70, 30], [8, 46]]",1,-1
rf,,614,154,0.835,0.7115398627271053,0.7611111111111111,0.6902654867256637,"[[80, 20], [15, 39]]",0.6610169491525424,0.32361011904761905,0.8148148148148148,0.5714285714285714,0.6717557251908397,"[[67, 33], [10, 44]]",2,-1
rf,,615,153,0.8313207547169811,0.7150463386970722,0.7723584905660378,0.7017543859649122,"[[79, 21], [13, 40]]",0.6557377049180327,0.26281547619047624,0.9056603773584906,0.5217391304347826,0.6620689655172414,"[[56, 44], [5, 48]]",3,-1
rf,,615,153,0.8016981132075471,0.7322451318720018,0.6929245283018868,0.6141732283464567,"[[65, 35], [14, 39]]",0.527027027027027,0.3378541666666666,0.8301886792452831,0.4835164835164835,0.6111111111111112,"[[53, 47], [9, 44]]",4,-1
logreg,8.0,614,154,0.8120370370370371,0.6612463314975975,0.7146296296296297,0.640625,"[[67, 33], [13, 41]]",0.5540540540540541,0.34051015570801196,0.9074074074074074,0.5212765957446809,0.6621621621621622,"[[55, 45], [5, 49]]",0,8
logreg,8.0,614,154,0.8353703703703704,0.707571594806638,0.7618518518518518,0.6909090909090909,"[[82, 18], [16, 38]]",0.6785714285714286,0.3317279277605628,0.8888888888888888,0.5581395348837209,0.6857142857142857,"[[62, 38], [6, 48]]",1,8
logreg,8.0,614,154,0.8383333333333333,0.7142468073938602,0.7453703703703703,0.6722689075630253,"[[75, 25], [14, 40]]",0.6153846153846154,0.32950985114000897,0.9444444444444444,0.5795454545454546,0.7183098591549296,"[[63, 37], [3, 51]]",2,8
logreg,8.0,615,153,0.8096226415094339,0.689532847434557,0.7290566037735848,0.6491228070175439,"[[76, 24], [16, 37]]",0.6065573770491803,0.3508914529332502,0.8490566037735849,0.5056179775280899,0.6338028169014085,"[[56, 44], [8, 45]]",3,8
