feature,importance
Glucose_x_Age,0.13189994961828697
Glucose,0.09707115173551904
Insulin_BMI_Interaction,0.08225232237530421
QUICKI,0.06337870217705184
BMI,0.05800889110105369
Pedigree_x_Glucose,0.054781112772045
BP_x_BMI,0.05055978021685512
Age,0.050326699763080705
Pedigree_x_BMI,0.04898771565770327
Glucose_BMI_Ratio,0.04440668667495117
Glucose_bin,0.041096051251686874
DiabetesPedigreeFunction,0.03999592887221111
Age_x_Pregnancies,0.03963483160988863
Insulin_Glucose_Ratio,0.039601185552486984
BloodPressure,0.03124568876027469
SkinThickness,0.03050724980234775
Insulin,0.027134966846483755
Pregnancies,0.02561555156761148
Age_bin,0.016728905302193155
BMI_bin,0.013432351140452246
SkinThickness_was_missing,0.005660616801638983
Insulin_was_missing,0.004364196552277239
BloodPressure_was_missing,0.0022808424788392013
BMI_was_missing,0.0008439452578950883
Glucose_was_missing,0.00018467611186183885
